pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.277538519965276,63.0,82.0,116.0,800.0,9.6357959E7,1843200
probe,chords,52.277538519965276,63.0,82.0,116.0,800.0,9.6357959E7,1843200
probe,terrainNodes,243.08616861979166,182.0,558.0,835.0,1398.0,4.48056426E8,1843200
probe,movingNodes,34.42654459635417,36.0,78.0,92.0,202.0,6.3455007E7,1843200
probe,terrainTriangles,4.54689453125,0.0,16.0,32.0,146.0,8380836.0,752414
probe,movingPrimitives,33.176067708333335,29.0,110.0,128.0,213.0,6.1150128E7,930331
probe,terrainCandidates,0.4410986328125,0.0,1.0,2.0,13.0,813033.0,750855
probe,movingCandidates,1.0597488064236111,1.0,3.0,5.0,11.0,1953329.0,929588
probe,terrainReuse,43.74479546440972,51.0,75.0,103.0,772.0,8.0630407E7,1831921
probe,movingReuse,48.81460557725694,59.0,80.0,112.0,796.0,8.9975081E7,1843200
probe,terrainLeaves,0.6597791883680556,0.0,3.0,5.0,26.0,1216105.0,752414
probe,movingLeaves,5.019868706597222,5.0,16.0,19.0,37.0,9252622.0,930331
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudPrimitives,33.12995279947916,29.0,110.0,128.0,188.0,6.1065129E7,928071
probe,actorTriangles,0.046114908854166664,0.0,0.0,0.0,213.0,84999.0,2678
probe,cloudCandidates,1.0575206163194444,1.0,3.0,5.0,6.0,1949222.0,928068
probe,actorCandidates,0.0022281901041666667,0.0,0.0,0.0,11.0,4107.0,1692
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.024376085069444445,0.0,0.0,0.0,114.0,44930.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingPrimitives,0.025643446180555557,0.0,0.0,0.0,168.0,47266.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.709418402777777E-4,0.0,0.0,0.0,5.0,1421.0,739
mask,terrainReuse,0.00940700954861111,0.0,0.0,0.0,27.0,17339.0,739
mask,movingReuse,0.012629665798611111,0.0,0.0,0.0,39.0,23279.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.003777669270833333,0.0,0.0,0.0,23.0,6963.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudPrimitives,0.025643446180555557,0.0,0.0,0.0,168.0,47266.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.709418402777777E-4,0.0,0.0,0.0,5.0,1421.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.27758897569444,63.0,82.0,116.0,800.0,9.6358052E7,1843200
full,chords,52.40201605902778,63.0,82.0,116.0,800.0,9.6587396E7,1843200
full,terrainNodes,244.50438530815973,182.0,570.0,842.0,1503.0,4.50670483E8,1843200
full,movingNodes,34.51604763454861,36.0,78.0,94.0,209.0,6.3619979E7,1843200
full,terrainTriangles,4.634940321180555,0.0,18.0,32.0,384.0,8543122.0,752414
full,movingPrimitives,32.89369357638889,29.0,110.0,128.0,268.0,6.0629656E7,930331
full,terrainCandidates,0.44814073350694444,0.0,1.0,2.0,25.0,826013.0,750855
full,movingCandidates,1.0073350694444445,1.0,3.0,5.0,15.0,1856720.0,929588
full,terrainReuse,43.843564453125,51.0,75.0,103.0,772.0,8.0812458E7,1831921
full,movingReuse,48.906575520833336,59.0,80.0,112.0,796.0,9.01446E7,1843200
full,terrainLeaves,0.6735606553819444,0.0,3.0,5.0,59.0,1241507.0,752414
full,movingLeaves,4.975108506944444,5.0,16.0,19.0,48.0,9170120.0,930331
full,transparentContinuations,0.12442708333333333,0.0,1.0,1.0,5.0,229344.0,228618
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudPrimitives,32.84576117621528,29.0,110.0,128.0,188.0,6.0541307E7,928071
full,actorTriangles,0.04793240017361111,0.0,0.0,0.0,230.0,88349.0,2678
full,cloudCandidates,1.0050406901041666,1.0,3.0,5.0,6.0,1852491.0,928068
full,actorCandidates,0.0022943793402777778,0.0,0.0,0.0,14.0,4229.0,1692
