pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.27917317708334,63.0,82.0,116.0,800.0,9.6360972E7,1843200
probe,chords,52.27917317708334,63.0,82.0,116.0,800.0,9.6360972E7,1843200
probe,terrainNodes,243.0712548828125,182.0,558.0,835.0,1398.0,4.48028937E8,1843200
probe,movingNodes,33.57428873697916,33.0,82.0,92.0,274.0,6.1884129E7,1843200
probe,terrainTriangles,4.544117838541666,0.0,16.0,32.0,146.0,8375718.0,752363
probe,movingTriangles,34.566181640625,30.0,114.0,132.0,297.0,6.3712386E7,930058
probe,terrainCandidates,0.4409646267361111,0.0,1.0,2.0,13.0,812786.0,750742
probe,movingCandidates,1.0595627170138888,1.0,3.0,5.0,23.0,1952986.0,929321
probe,terrainReuse,43.7465576171875,51.0,75.0,103.0,772.0,8.0633655E7,1831921
probe,movingReuse,48.944391276041664,59.0,80.0,112.0,796.0,9.0214302E7,1843200
probe,terrainLeaves,0.6593722873263889,0.0,3.0,5.0,26.0,1215355.0,752363
probe,movingLeaves,5.249016384548611,5.0,16.0,20.0,50.0,9674987.0,930058
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,34.51677571614584,30.0,114.0,132.0,260.0,6.3621321E7,927906
probe,actorTriangles,0.04940592447916667,0.0,0.0,0.0,255.0,91065.0,2916
probe,cloudCandidates,1.0572781032986112,1.0,3.0,5.0,5.0,1948775.0,927903
probe,actorCandidates,0.002284613715277778,0.0,0.0,0.0,23.0,4211.0,1730
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.026234809027777778,0.0,0.0,0.0,114.0,48356.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingTriangles,0.029645182291666666,0.0,0.0,0.0,180.0,54642.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.693142361111111E-4,0.0,0.0,0.0,5.0,1418.0,739
mask,terrainReuse,0.00940700954861111,0.0,0.0,0.0,27.0,17339.0,739
mask,movingReuse,0.012704535590277777,0.0,0.0,0.0,39.0,23417.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.004460177951388889,0.0,0.0,0.0,26.0,8221.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.029645182291666666,0.0,0.0,0.0,180.0,54642.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.693142361111111E-4,0.0,0.0,0.0,5.0,1418.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.2792236328125,63.0,82.0,116.0,800.0,9.6361065E7,1843200
full,chords,52.40362250434028,63.0,82.0,116.0,800.0,9.6590357E7,1843200
full,terrainNodes,244.48595757378473,182.0,570.0,842.0,1503.0,4.50636517E8,1843200
full,movingNodes,33.64711263020833,33.0,82.0,92.0,274.0,6.2018358E7,1843200
full,terrainTriangles,4.631461588541667,0.0,18.0,32.0,384.0,8536710.0,752363
full,movingTriangles,34.2814013671875,30.0,114.0,132.0,332.0,6.3187479E7,930058
full,terrainCandidates,0.44797688802083335,0.0,1.0,2.0,25.0,825711.0,750742
full,movingCandidates,1.0144623480902777,1.0,3.0,5.0,23.0,1869857.0,929321
full,terrainReuse,43.845355902777776,51.0,75.0,103.0,772.0,8.081576E7,1831921
full,movingReuse,49.041150716145836,59.0,80.0,112.0,796.0,9.0392649E7,1843200
full,terrainLeaves,0.6730501302083334,0.0,3.0,5.0,59.0,1240566.0,752363
full,movingLeaves,5.2035139973958335,5.0,16.0,20.0,60.0,9591117.0,930058
full,transparentContinuations,0.12439887152777777,0.0,1.0,1.0,5.0,229292.0,228566
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,34.22850531684028,30.0,114.0,132.0,260.0,6.3089981E7,927906
full,actorTriangles,0.05289605034722222,0.0,0.0,0.0,255.0,97498.0,2916
full,cloudCandidates,1.0120589192708334,1.0,3.0,5.0,5.0,1865427.0,927903
full,actorCandidates,0.0024034288194444446,0.0,0.0,0.0,23.0,4430.0,1730
