pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.190434027777776,63.0,82.0,116.0,800.0,9.6197408E7,1843200
probe,chords,52.190434027777776,63.0,82.0,116.0,800.0,9.6197408E7,1843200
probe,terrainNodes,243.1025222439236,182.0,558.0,835.0,1398.0,4.48086569E8,1843200
probe,movingNodes,86.61151041666666,86.0,180.0,211.0,307.0,1.59642336E8,1843200
probe,terrainTriangles,4.548636067708333,0.0,16.0,32.0,146.0,8384046.0,752499
probe,movingTriangles,39.942066514756945,32.0,124.0,150.0,252.0,7.3621217E7,934720
probe,terrainCandidates,0.4412353515625,0.0,1.0,2.0,13.0,813285.0,751067
probe,movingCandidates,1.059333224826389,1.0,3.0,5.0,7.0,1952563.0,929253
probe,terrainReuse,43.65785427517361,51.0,75.0,103.0,772.0,8.0470157E7,1831921
probe,movingReuse,47.21464409722222,56.0,79.0,112.0,796.0,8.7026032E7,1843200
probe,terrainLeaves,0.6600748697916666,0.0,3.0,5.0,26.0,1216650.0,752499
probe,movingLeaves,6.4029768880208335,5.0,19.0,24.0,36.0,1.1801967E7,934720
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,37.87027940538194,29.0,116.0,150.0,252.0,6.9802499E7,934419
probe,actorTriangles,2.071787109375,0.0,15.0,20.0,147.0,3818718.0,365913
probe,cloudCandidates,1.0587483723958333,1.0,3.0,5.0,5.0,1951485.0,928887
probe,actorCandidates,5.848524305555556E-4,0.0,0.0,0.0,7.0,1078.0,508
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.0145166015625,0.0,0.0,0.0,45.0,26757.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.07336371527777778,0.0,0.0,0.0,245.0,135224.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingTriangles,0.03606336805555556,0.0,0.0,0.0,180.0,66472.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.470703125E-4,0.0,0.0,0.0,5.0,1377.0,739
mask,terrainReuse,0.009447699652777778,0.0,0.0,0.0,28.0,17414.0,739
mask,movingReuse,0.0117236328125,0.0,0.0,0.0,36.0,21609.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.006306423611111111,0.0,0.0,0.0,30.0,11624.0,739
mask,transparentContinuations,8.355034722222222E-4,0.0,0.0,0.0,5.0,1540.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.029990234375,0.0,0.0,0.0,166.0,55278.0,739
mask,actorTriangles,0.006073133680555555,0.0,0.0,0.0,24.0,11194.0,739
mask,cloudCandidates,7.470703125E-4,0.0,0.0,0.0,5.0,1377.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.19048448350694,63.0,82.0,116.0,800.0,9.6197501E7,1843200
full,chords,52.32464138454861,63.0,82.0,116.0,800.0,9.6444779E7,1843200
full,terrainNodes,243.9075048828125,182.0,566.0,839.0,1503.0,4.49570313E8,1843200
full,movingNodes,90.87496310763889,89.0,190.0,245.0,352.0,1.67500732E8,1843200
full,terrainTriangles,4.598270399305555,0.0,18.0,32.0,384.0,8475532.0,752499
full,movingTriangles,46.406161024305554,33.0,142.0,186.0,282.0,8.5535836E7,934720
full,terrainCandidates,0.4446066623263889,0.0,1.0,2.0,25.0,819499.0,751067
full,movingCandidates,0.9958132595486111,1.0,3.0,5.0,7.0,1835483.0,929253
full,terrainReuse,43.77442111545139,51.0,75.0,103.0,772.0,8.0685013E7,1831921
full,movingReuse,47.215458441840276,56.0,79.0,112.0,796.0,8.7027533E7,1843200
full,terrainLeaves,0.6678537326388889,0.0,3.0,5.0,59.0,1230988.0,752499
full,movingLeaves,7.439934895833333,6.0,24.0,30.0,48.0,1.3713288E7,934720
full,transparentContinuations,0.13415690104166667,0.0,1.0,1.0,5.0,247278.0,246477
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,44.152798394097225,30.0,138.0,186.0,274.0,8.1382438E7,934419
full,actorTriangles,2.253362630208333,0.0,16.0,22.0,147.0,4153398.0,365913
full,cloudCandidates,0.9952284071180556,1.0,3.0,5.0,5.0,1834405.0,928887
full,actorCandidates,5.848524305555556E-4,0.0,0.0,0.0,7.0,1078.0,508
