pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.190434027777776,63.0,82.0,116.0,800.0,9.6197408E7,1843200
probe,chords,52.190434027777776,63.0,82.0,116.0,800.0,9.6197408E7,1843200
probe,terrainNodes,243.1025222439236,182.0,558.0,835.0,1398.0,4.48086569E8,1843200
probe,movingNodes,39.873387586805556,42.0,87.0,103.0,174.0,7.3494628E7,1843200
probe,terrainTriangles,4.548636067708333,0.0,16.0,32.0,146.0,8384046.0,752499
probe,movingTriangles,34.47396267361111,30.0,116.0,132.0,260.0,6.3542408E7,929432
probe,terrainCandidates,0.4412353515625,0.0,1.0,2.0,13.0,813285.0,751067
probe,movingCandidates,1.0593212890625,1.0,3.0,5.0,7.0,1952541.0,929253
probe,terrainReuse,43.65785427517361,51.0,75.0,103.0,772.0,8.0470157E7,1831921
probe,movingReuse,96.09695421006944,106.0,159.0,225.0,1594.0,1.77125906E8,1843200
probe,terrainLeaves,0.6600748697916666,0.0,3.0,5.0,26.0,1216650.0,752499
probe,movingLeaves,5.452230360243056,5.0,18.0,22.0,36.0,1.0049551E7,929432
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudTriangles,34.45767740885417,30.0,116.0,132.0,260.0,6.3512391E7,928888
probe,actorTriangles,0.016285264756944445,0.0,0.0,0.0,119.0,30017.0,826
probe,cloudCandidates,1.0587472873263888,1.0,3.0,5.0,5.0,1951483.0,928885
probe,actorCandidates,5.740017361111111E-4,0.0,0.0,0.0,7.0,1058.0,508
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.0145166015625,0.0,0.0,0.0,45.0,26757.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.0243896484375,0.0,0.0,0.0,117.0,44955.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingTriangles,0.02695583767361111,0.0,0.0,0.0,160.0,49685.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.156032986111111E-4,0.0,0.0,0.0,5.0,1319.0,739
mask,terrainReuse,0.009447699652777778,0.0,0.0,0.0,28.0,17414.0,739
mask,movingReuse,0.025974934895833333,0.0,0.0,0.0,76.0,47877.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.004362521701388889,0.0,0.0,0.0,25.0,8041.0,739
mask,transparentContinuations,8.355034722222222E-4,0.0,0.0,0.0,5.0,1540.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudTriangles,0.02695583767361111,0.0,0.0,0.0,160.0,49685.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.156032986111111E-4,0.0,0.0,0.0,5.0,1319.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.19048448350694,63.0,82.0,116.0,800.0,9.6197501E7,1843200
full,chords,52.32464138454861,63.0,82.0,116.0,800.0,9.6444779E7,1843200
full,terrainNodes,243.9075048828125,182.0,566.0,839.0,1503.0,4.49570313E8,1843200
full,movingNodes,39.76796657986111,42.0,87.0,103.0,174.0,7.3300316E7,1843200
full,terrainTriangles,4.598270399305555,0.0,18.0,32.0,384.0,8475532.0,752499
full,movingTriangles,34.186802300347225,30.0,114.0,132.0,260.0,6.3013114E7,929432
full,terrainCandidates,0.4446066623263889,0.0,1.0,2.0,25.0,819499.0,751067
full,movingCandidates,0.9996983506944445,1.0,3.0,5.0,7.0,1842644.0,929253
full,terrainReuse,43.77442111545139,51.0,75.0,103.0,772.0,8.0685013E7,1831921
full,movingReuse,96.23177517361111,107.0,159.0,225.0,1594.0,1.77374408E8,1843200
full,terrainLeaves,0.6678537326388889,0.0,3.0,5.0,59.0,1230988.0,752499
full,movingLeaves,5.406899956597222,5.0,18.0,22.0,36.0,9965998.0,929432
full,transparentContinuations,0.13415690104166667,0.0,1.0,1.0,5.0,247278.0,246477
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudTriangles,34.17051703559028,30.0,114.0,132.0,260.0,6.2983097E7,928888
full,actorTriangles,0.016285264756944445,0.0,0.0,0.0,119.0,30017.0,826
full,cloudCandidates,0.9991243489583334,1.0,3.0,5.0,5.0,1841586.0,928885
full,actorCandidates,5.740017361111111E-4,0.0,0.0,0.0,7.0,1058.0,508
